Version=0.9
1,41,2,0,3=1205425
1,41,2,0,1=1244745
1,41,2,13,4=933322
1,41,2,13,3=1484680
1,41,2,0,2=1209910
1,41,2,13,7=1172269
1,41,2,13,6=50016
1,41,2,0,6=2006484
1,41,2,0,7=15008
1,41,2,0,4=1212123
1,41,2,0,5=1635672
1,41,2,13,5=1209549
1,41,2,13,2=263827
1,41,2,13,1=13131
1,41,2,33,1=23405
1,41,2,13,9=9767
1,41,2,13,8=794412
1,41,2,0,8=2144349
1,41,2,13,10=184769
0,41,2,0,3=155370
0,41,2,0,1=131691
0,41,2,13,4=1774824
0,41,2,13,3=1572462
0,41,2,0,2=195956
0,41,2,13,7=2039091
0,41,2,13,6=1632195
0,41,2,0,6=4114693
0,41,2,0,7=767157
0,41,2,0,4=185365
0,41,2,0,5=2314489
0,41,2,13,5=1312159
0,41,2,13,2=256892
0,41,2,13,1=958445
0,41,2,33,1=90732
0,41,2,13,9=2793845
0,41,2,13,8=1086724
0,41,2,0,8=2622811
0,41,2,13,10=4273643
1,41,2,13,11=49098
1,41,2,0,9=1185093
1,41,2,13,12=1723447
0,41,2,13,11=8677953
0,41,2,0,9=3960015
0,41,2,13,12=3030512
1,41,2,1,13=15368
1,41,2,1,14=32548
1,41,2,13,16=925520
1,41,2,13,47=39850
1,41,2,13,43=26729
1,41,2,13,20=1160963
1,41,2,13,48=48187
1,41,2,13,44=59850
1,41,2,13,34=46377
1,41,2,13,24=552133
1,41,2,13,21=819807
1,41,2,13,17=53427
1,41,2,13,39=246098
1,41,2,13,49=1049927
1,41,2,13,35=2842489
1,41,2,13,28=29295
1,41,2,13,25=2064319
1,41,2,13,13=9774
1,41,2,13,40=1127912
1,41,2,13,31=53459
1,41,2,13,36=1113175
1,41,2,13,14=641550
1,41,2,13,22=824011
1,41,2,13,15=643797
1,41,2,13,29=39057
1,41,2,13,27=150114
1,41,2,13,26=2437893
1,41,2,13,18=57104
1,41,2,13,23=723239
1,41,2,13,37=898104
1,41,2,13,41=39063
1,41,2,13,30=95379
1,41,2,13,38=1135901
1,41,2,13,45=252970
1,41,2,13,19=913868
1,41,2,13,42=632127
1,41,2,13,32=39080
1,41,2,13,33=905085
1,41,2,13,46=374130
1,41,2,11,95=62330
0,41,2,1,13=35420
0,41,2,1,14=6768129
0,41,2,13,16=156581
0,41,2,13,47=117484
0,41,2,13,43=116877
0,41,2,13,20=146731
0,41,2,13,48=425086
0,41,2,13,44=1039471
0,41,2,13,34=1213459
0,41,2,13,24=1954297
0,41,2,13,21=1685719
0,41,2,13,17=1848983
0,41,2,13,39=1176031
0,41,2,13,49=1651535
0,41,2,13,35=2881605
0,41,2,13,28=2447298
0,41,2,13,25=2921405
0,41,2,13,13=257122
0,41,2,13,36=3126976
0,41,2,13,40=4302354
0,41,2,13,31=3158491
0,41,2,13,14=1031176
0,41,2,13,18=964272
0,41,2,13,22=653744
0,41,2,13,15=1741249
0,41,2,13,26=1064653
0,41,2,13,29=1299301
0,41,2,13,19=1354278
0,41,2,13,27=2781472
0,41,2,13,23=1739381
0,41,2,13,32=844792
0,41,2,13,37=816284
0,41,2,13,30=2754107
0,41,2,13,41=719839
0,41,2,13,38=10408265
0,41,2,13,45=717661
0,41,2,13,33=2348400
0,41,2,13,42=1161448
0,41,2,13,46=1724929
1,41,2,13,50=1178423
1,41,2,13,51=776639
1,41,2,13,52=201104
0,41,2,13,50=209471
0,41,2,13,51=1577515
0,41,2,13,52=2021095
1,41,2,13,53=1198318
1,41,2,13,54=29294
1,41,2,13,55=28121
0,41,2,13,53=170456
0,41,2,13,54=2770128
0,41,2,13,55=1447079
1,41,2,13,56=1212184
0,41,2,13,56=1332326
